algorithm, operation, iteration, time_ns  , time_ms
RSA      , sign     ,        52,  10194347,  10.194347
RSA      , sign     ,        53,  10988203,  10.988203
RSA      , sign     ,        54,  10110352,  10.110352
RSA      , sign     ,        55,   9785633,   9.785633
RSA      , sign     ,        56,  10266471,  10.266471
RSA      , sign     ,        57,   9838545,   9.838545
RSA      , sign     ,        58,  11888909,  11.888909
RSA      , sign     ,        59,  12369602,  12.369602
RSA      , sign     ,        60,  12113674,  12.113674
RSA      , sign     ,        61,  10925763,  10.925763
RSA      , sign     ,        62,  11772036,  11.772036
RSA      , sign     ,        63,  10213952,  10.213952
RSA      , sign     ,        64,  11926665,  11.926665
RSA      , sign     ,        65,  11311196,  11.311196
RSA      , sign     ,        66,  12235497,  12.235497
RSA      , sign     ,        67,   9874244,   9.874244
RSA      , sign     ,        68,  10703208,  10.703208
RSA      , sign     ,        69,  10977315,  10.977315
RSA      , sign     ,        70,  10554032,  10.554032
RSA      , sign     ,        71,  14712339,  14.712339
RSA      , sign     ,        72,  24827777,  24.827777
RSA      , sign     ,        73,  12760577,  12.760577
RSA      , sign     ,        74,  12084820,  12.084820
RSA      , sign     ,        75,  10054229,  10.054229
RSA      , sign     ,        76,  11293177,  11.293177
RSA      , sign     ,        77,  12049555,  12.049555
RSA      , sign     ,        78,  10888361,  10.888361
RSA      , sign     ,        79,  10458807,  10.458807
RSA      , sign     ,        80,  11363445,  11.363445
RSA      , sign     ,        81,   9855461,   9.855461
RSA      , sign     ,        82,  10433576,  10.433576
RSA      , sign     ,        83,   9831121,   9.831121
RSA      , sign     ,        84,  14207478,  14.207478
RSA      , sign     ,        85,  10484570,  10.484570
RSA      , sign     ,        86,  10343125,  10.343125
RSA      , sign     ,        87,  10111558,  10.111558
RSA      , sign     ,        88,  10414615,  10.414615
RSA      , sign     ,        89,   9964642,   9.964642
RSA      , sign     ,        90,   9983890,   9.983890
RSA      , sign     ,        91,  13128817,  13.128817
RSA      , sign     ,        92,  13317566,  13.317566
RSA      , sign     ,        93,  12115914,  12.115914
RSA      , sign     ,        94,  10753279,  10.753279
RSA      , sign     ,        95,  10595735,  10.595735
RSA      , sign     ,        96,  10242360,  10.242360
RSA      , sign     ,        97,  10473007,  10.473007
RSA      , sign     ,        98,  13478265,  13.478265
RSA      , sign     ,        99,  10121505,  10.121505
RSA      , sign     ,       100,   9878977,   9.878977
RSA      , sign     ,       101,   9964173,   9.964173
RSA      , sign     ,       102,  10218741,  10.218741
RSA      , sign     ,       103,   9807174,   9.807174
RSA      , sign     ,       104,   9979252,   9.979252
RSA      , sign     ,       105,   9714998,   9.714998
RSA      , sign     ,       106,   9708259,   9.708259
RSA      , sign     ,       107,   9805425,   9.805425
RSA      , sign     ,       108,   9907142,   9.907142
RSA      , sign     ,       109,   9983843,   9.983843
RSA      , sign     ,       110,   9814915,   9.814915
RSA      , sign     ,       111,  10025082,  10.025082
RSA      , sign     ,       112,  10552904,  10.552904
RSA      , sign     ,       113,  10488636,  10.488636
RSA      , sign     ,       114,   9873326,   9.873326
RSA      , sign     ,       115,  10976883,  10.976883
RSA      , sign     ,       116,  11354925,  11.354925
RSA      , sign     ,       117,  10962532,  10.962532
RSA      , sign     ,       118,  11216844,  11.216844
RSA      , sign     ,       119,  10258054,  10.258054
RSA      , sign     ,       120,  10737767,  10.737767
RSA      , sign     ,       121,  10997870,  10.997870
RSA      , sign     ,       122,  10429973,  10.429973
RSA      , sign     ,       123,  11298334,  11.298334
RSA      , sign     ,       124,  11488596,  11.488596
RSA      , sign     ,       125,  11008727,  11.008727
RSA      , sign     ,       126,  11311377,  11.311377
RSA      , sign     ,       127,  10830607,  10.830607
RSA      , sign     ,       128,  10985774,  10.985774
